time,fused_mean,fused_q2_5,fused_q97_5,fused_mean_log,fused_q2_5_log,fused_q97_5_log,temp,rad
1976-01-13,1.7747066185407456,1.4875251025722585,2.098453143446198,0.5736351239370964,0.39711373397408434,0.7412004749485587,7.1,23.37962962962963
1976-03-30,16.82669930069023,13.999818286755906,20.11530266787751,2.8229668689859206,2.6390443500135885,3.0014808521628966,6.8,192.36111111111111
1976-04-14,9.294260688059577,7.773292886682888,11.032151084577157,2.229397079339741,2.0506938695437267,2.4008138355184303,8.5,64.00462962962963
1976-06-09,6.0441819980991305,5.100057643868396,7.145186205133197,1.7990961561508976,1.6292518423856983,1.966438871942629,21.4,276.5046296296296
1976-07-29,12.796127250390125,10.671901350652204,15.36193680728634,2.5491425665822236,2.3676142453760654,2.7318928139946888,16.3,277.89351851851853
1976-08-10,20.90580997129052,17.287310275628236,24.935144423333057,3.0400271093959295,2.849972722274298,3.216278230973815,19.3,273.3796296296296
1976-10-18,4.752998832563987,3.9808213309618328,5.608046929783113,1.5587757520109686,1.3814881625693833,1.7242025180608822,6.5,50.92592592592593
1976-11-09,4.741222753331003,3.934977158594209,5.707665589021577,1.5562950672775417,1.369905077175063,1.741810111532115,7.0,38.888888888888886
1976-12-22,5.429384045556892,4.497170286949918,6.450152576581925,1.691825692070838,1.5034483738605937,1.8641037858119187,2.8,19.328703703703702
1977-01-05,1.60451170041792,1.348854433980318,1.9023617299630604,0.4728194737929281,0.29925566479121174,0.6430961300379178,-0.1,16.666666666666668
1977-02-15,2.6045577203979797,2.1651895094121842,3.1019032115583345,0.9572628797536545,0.7725078908394343,1.1320158623198884,2.6,20.02314814814815
1977-04-20,5.894089731006413,4.854773278280369,7.033683028310951,1.7739501083269353,1.579962402049449,1.9507104702429936,6.3,199.76851851851853
1977-05-03,8.215431956333049,6.869607415583904,9.702730700207482,2.1060143315229514,1.9271069598538224,2.2724073613765956,11.5,99.88425925925927
1977-06-13,3.843530968972531,3.2217589706927607,4.568933038592493,1.346391467267116,1.169927474598646,1.5192797068800639,20.0,299.76851851851853
1977-07-12,9.111508801496806,7.557825225544758,10.907494928824791,2.2095383179202175,2.0225834802281635,2.3894501610899903,15.4,92.47685185185185
1977-08-09,5.769540082861128,4.844711299520544,6.8363561522403975,1.7525923690001706,1.5778876562650743,1.922254863404755,15.3,72.80092592592592
1977-09-26,10.985754770883947,9.266202636395613,13.105290965647967,2.3965994127055104,2.22637365556557,2.5730160391727686,13.2,60.18518518518518
1977-10-25,6.497328171465982,5.400399178135609,7.714221062464277,1.8713910418534638,1.686472872715106,2.0430655166821743,12.7,65.16203703703704
1977-11-22,7.1357750328676115,5.877227491021671,8.523159076548113,1.965120869117593,1.7710851355799508,2.142787055750368,6.3,34.02777777777778
1977-12-20,14.494505845588893,12.060783741278119,17.11010877242678,2.673769670422291,2.489959176026468,2.8396694451268396,4.5,10.879629629629628
1978-01-10,5.020607818862906,4.258357123058114,5.954662830589343,1.6135510058288745,1.4488834340341818,1.7841745816559271,4.8,35.879629629629626
1978-02-21,3.719640314009258,3.0693075282594817,4.476271777031787,1.3136269738278394,1.121451975328906,1.4987905073355463,-2.2,62.15277777777778
1978-03-13,3.825216331965862,3.1881742265802537,4.524253355445944,1.341615023055887,1.1594484101813,1.5094525592158403,5.8,111.68981481481481
1978-04-13,14.251602098919113,11.871592630134606,17.053718449019925,2.65686932838943,2.4741483723368596,2.8363682708027818,4.3,203.35648148148147
1978-05-09,40.56319419254015,33.592539210040044,48.31050985272635,3.7028611084636913,3.5143039949927655,3.877649132282646,11.1,305.3240740740741
1978-06-20,12.857146704718144,10.75135153161088,15.434202920476633,2.553899820530763,2.3750314705418676,2.73658601557608,14.5,325.0
1978-07-18,14.970079925966811,12.480821278310026,18.1608465611335,2.7060535374932235,2.5241931683329524,2.8992679888891235,13.8,106.25000000000001
1978-08-07,4.056397942701189,3.414819270038321,4.782182749095734,1.4002953735820198,1.2281245692323643,1.5648970843443406,15.0,202.66203703703704
1978-09-12,11.445634481550083,9.494556610367912,13.59099752738356,2.437608389312238,2.250718646003593,2.609407627042766,14.0,157.63888888888889
1978-10-17,4.814188865539432,4.002484697202344,5.687806917276776,1.5715675711503878,1.3869153425715783,1.738324746298328,8.6,94.79166666666667
1978-11-14,2.5191010115601027,2.085429381183686,2.976515561565493,0.9239020964315616,0.7349747722659961,1.0907533417399198,11.8,24.88425925925926
1979-02-06,3.309440784244929,2.7462120721991568,3.953219176360296,1.1967792277577316,1.010222533860879,1.3745302283530865,-2.5,41.550925925925924
1979-03-13,4.891685877416143,4.144883614336786,5.74452940388508,1.5875370042784362,1.4218747096253244,1.7482479939133935,3.9,83.10185185185185
1979-04-24,34.75294366266684,28.787892067709556,41.266957575459465,3.548264278140167,3.3599548844273843,3.720062121043632,6.8,59.49074074074075
1979-05-28,13.192091102088357,11.017469679908123,15.72340314067391,2.579617491092182,2.3994821657364014,2.7551502483473067,14.1,256.48148148148147
1979-06-19,12.966341738273544,10.759666694202632,15.42290521399461,2.5623569028973443,2.3758045778786405,2.7358537559659046,13.1,233.79629629629628
1979-07-10,6.551357895594817,5.5283196458967,7.787553820343902,1.8796723404654865,1.7098839078574823,2.052526795209292,14.7,279.6296296296296
1979-08-07,20.12473605138398,16.798758176372154,24.02061231449419,3.0019497077594375,2.821304965604052,3.1789123081876327,17.2,141.2037037037037
1979-09-04,13.66387288059973,11.303981435784342,16.341373824369768,2.6147553337681413,2.425155003111269,2.793700163276363,14.4,177.66203703703704
