time,chl_water,chl,time_elapsed,obsscheme,lograd,temp
2017-02-07,,2.128448009490967,41.10335386721424,obs2,2.7414372171349473,1.1
2017-02-08,,1.8773905038833616,41.106091718001366,obs2,2.7780713503147276,-0.5
2017-02-09,,2.5281357765197754,41.1088295687885,obs2,3.126801145922024,-1.7
2017-02-10,4.1,2.622180700302124,41.111567419575636,obs3,2.7708511023412403,-2.0
2017-02-11,,2.5373220443725586,41.114305270362756,obs2,3.1954555506601023,-0.2
2017-02-12,,2.655552387237549,41.1170431211499,obs2,3.9097055072877835,-0.2
2017-02-13,,2.618438482284546,41.11978097193703,obs2,4.534439694602599,1.2
2017-02-14,,3.767458200454712,41.12251882272415,obs2,4.523196603028419,2.2
2017-02-15,,3.2333126068115234,41.125256673511295,obs2,4.53070602505055,6.0
2017-02-16,,2.140270709991455,41.12799452429842,obs2,4.371555334806586,6.2
2017-02-17,,1.9899132251739504,41.130732375085564,obs2,3.6087885199688805,6.3
2017-02-18,,2.896104574203491,41.133470225872685,obs2,3.474809199005401,4.4
2017-02-19,,3.4850683212280287,41.13620807665982,obs2,4.377386255117379,6.7
2017-02-20,,3.207072496414185,41.13894592744696,obs2,3.8573125732268374,7.9
2017-02-21,,1.4453392028808594,41.141683778234096,obs2,4.632569160176206,7.4
2017-02-22,,1.0663082599639893,41.14442162902122,obs2,3.2860151277058294,7.5
2017-02-23,,2.150752544403076,41.14715947980835,obs2,3.669597524564486,6.5
2017-02-24,,3.109458446502685,41.14989733059547,obs2,4.802045810481691,5.0
2017-02-25,,3.109458446502685,41.15263518138261,obs2,3.161717411028252,5.9
2017-02-26,,2.5778918266296387,41.15537303216975,obs2,3.5540244345589054,7.7
2017-02-27,4.1,3.416947364807129,41.15811088295688,obs3,2.9968890116818145,7.7
2017-02-28,,3.913283109664917,41.160848733744004,obs2,4.451598042480122,4.8
2017-03-01,,3.941325426101685,41.16358658453115,obs2,4.779940153018085,5.6
2017-03-02,,3.04792857170105,41.16632443531827,obs2,4.097426228759509,5.9
2017-03-03,,2.935088634490967,41.1690622861054,obs2,4.048155179752726,5.8
2017-03-04,,3.1713988780975337,41.171800136892536,obs2,3.7597994797914707,7.8
2017-03-05,,2.8458077907562256,41.17453798767967,obs2,4.632569160176206,7.1
2017-03-06,,2.2239675521850586,41.17727583846681,obs2,4.3975308212098465,5.4
2017-03-07,,2.0406243801116943,41.18001368925393,obs2,4.38606937769084,5.8
2017-03-08,,2.199960947036743,41.18275154004107,obs2,3.2685474346654386,6.1
2017-03-09,,2.820631980895996,41.1854893908282,obs2,4.689477292448085,7.0
2017-03-10,11.7,2.2554917335510254,41.18822724161533,obs3,4.856613206823666,6.3
2017-03-11,,2.241421699523926,41.190965092402465,obs2,4.417277584144681,7.6
2017-03-12,,3.195398092269897,41.1937029431896,obs2,4.972894966113409,8.2
2017-03-13,,3.7442324161529537,41.19644079397673,obs2,4.8283137373023015,6.1
2017-03-14,,3.6181697845458975,41.19917864476386,obs2,4.80773302960228,8.1
2017-03-15,,3.713593244552612,41.20191649555099,obs2,5.058837395914133,7.9
2017-03-16,,2.636202096939087,41.20465434633813,obs2,5.093522953902023,9.2
2017-03-17,,3.3504624366760254,41.20739219712526,obs2,4.71779591263733,7.4
2017-03-18,,3.357008218765259,41.21013004791239,obs2,4.368627075027498,8.2
2017-03-19,,3.574204206466675,41.21286789869952,obs2,4.535681159690664,9.6
2017-03-20,,3.3721706867218018,41.215605749486656,obs2,3.847484484290575,8.7
2017-03-21,,3.409745454788208,41.21834360027378,obs2,5.217599276534196,7.2
2017-03-22,,3.0177488327026367,41.22108145106092,obs2,5.213198137710445,7.5
2017-03-23,,2.935130834579468,41.223819301848046,obs2,5.230687652840793,7.8
2017-03-24,,3.968916893005371,41.22655715263518,obs2,5.249700798421051,7.6
2017-03-25,,4.310980319976807,41.22929500342232,obs2,5.304662931538319,7.6
2017-03-26,,2.748034954071045,41.232032854209436,obs2,5.273118259970498,8.4
2017-03-27,7.8,4.1683502197265625,41.23477070499658,obs3,5.310396892202638,9.0
2017-03-28,,3.9264676570892334,41.23750855578371,obs2,5.2119371034954165,9.7
2017-03-29,,3.8862967491149902,41.24024640657085,obs2,4.475599194579665,10.0
2017-03-30,,2.119801521301269,41.24298425735798,obs2,5.054415870656256,13.9
2017-03-31,,1.2226697206497192,41.24572210814511,obs2,5.012947433854635,12.7
2017-04-01,,1.2251336574554443,41.248459958932244,obs2,4.607482325746471,9.2
2017-04-02,,4.4673943519592285,41.251197809719365,obs2,5.267165861443202,8.7
2017-04-03,,3.7944390773773193,41.2539356605065,obs2,4.804893463094203,8.5
2017-04-04,,9.50776481628418,41.25667351129363,obs2,5.338027632215601,9.5
2017-04-05,,16.611440658569336,41.259411362080776,obs2,5.22820780036101,8.7
2017-04-06,,17.354341506958008,41.2621492128679,obs2,5.12084514381552,8.1
